S1A015	S1A015	Sitio 1	SEDIMENTO	"28/09/2023"	Dique Miguelito
S1A1530	S1A1530	Sitio 1	SEDIMENTO	"28/09/2023"	Dique Miguelito
S1A3050	S1A3050	Sitio 1	SEDIMENTO	"28/09/2023"	Dique Miguelito
S1A5075	S1A5075	Sitio 1	SEDIMENTO	"28/09/2023"	Dique Miguelito
S1B07	S1B07	Sitio 1	SEDIMENTO	"28/09/2023"	Dique Miguelito
S1B2230	S1B2230	Sitio 1	SEDIMENTO	"28/09/2023"	Dique Miguelito
S1B3040	S1B3040	Sitio 1	SEDIMENTO	"28/09/2023"	Dique Miguelito
S1B6575	S1B6575	Sitio 1	SEDIMENTO	"28/09/2023"	Dique Miguelito
S2A515	S2A515	Sitio 2	SEDIMENTO	"28/09/2023"	Dique Miguelito
S2A1727	S2A1727	Sitio 2	SEDIMENTO	"28/09/2023"	Dique Miguelito
S2A3545	S2A3545	Sitio 2	SEDIMENTO	"28/09/2023"	Dique Miguelito
S2A5060	S2A5060	Sitio 2	SEDIMENTO	"28/09/2023"	Dique Miguelito
S2B07	S2B07	Sitio 2	SEDIMENTO	"28/09/2023"	Dique Miguelito
S2B1522	S2B1522	Sitio 2	SEDIMENTO	"28/09/2023"	Dique Miguelito
S2B3040	S2B3040	Sitio 2	SEDIMENTO	"28/09/2023"	Dique Miguelito
S2B5565	S2B5565	Sitio 2	SEDIMENTO	"28/09/2023"	Dique Miguelito
S3A07	S3A07	Sito 3	SEDIMENTO	"28/09/2023"	Dique Miguelito
S3A1522	S3A1522	Sito 3	SEDIMENTO	"28/09/2023"	Dique Miguelito
S3A3040	S3A3040	Sito 3	SEDIMENTO	"28/09/2023"	Dique Miguelito
S3A6070	S3A6070	Sito 3	SEDIMENTO	"28/09/2023"	Dique Miguelito
S3B510	S3B510	Sito 3	SEDIMENTO	"28/09/2023"	Dique Miguelito
S3B2030	S3B2030	Sito 3	SEDIMENTO	"28/09/2023"	Dique Miguelito
S3B3545	S3B3545	Sito 3	SEDIMENTO	"28/09/2023"	Dique Miguelito
S3B6070	S3B6070	Sito 3	SEDIMENTO	"28/09/2023"	Dique Miguelito
S4B07	S4B07	Sitio 4	SEDIMENTO	"29/09/2023"	La Piedad
S4B1522	S4B1522	Sitio 4	SEDIMENTO	"29/09/2023"	La Piedad
S4B3040	S4B3040	Sitio 4	SEDIMENTO	"29/09/2023"	La Piedad
S4B5565	S4B5565	Sitio 4	SEDIMENTO	"29/09/2023"	La Piedad
S5A07	S5A07	Sitio 5	SEDIMENTO	"29/09/2023"	La Piedad
S5A1522	S5A1522	Sitio 5	SEDIMENTO	"29/09/2023"	La Piedad
S5A3040	S5A3040	Sitio 5	SEDIMENTO	"29/09/2023"	La Piedad
S5A5565	S5A5565	Sitio 5	SEDIMENTO	"29/09/2023"	La Piedad
S5B07	S5B07	Sitio 5	SEDIMENTO	"29/09/2023"	La Piedad
S5B1522	S5B1522	Sitio 5	SEDIMENTO	"29/09/2023"	La Piedad
S5B3040	S5B3040	Sitio 5	SEDIMENTO	"29/09/2023"	La Piedad
S5B5060	S5B5060	Sitio 5	SEDIMENTO	"29/09/2023"	La Piedad
S6A07	S6A07	Sitio 6	SEDIMENTO	"30/09/2023"	El Cacahuate
S6A1522	S6A1522	Sitio 6	SEDIMENTO	"30/09/2023"	El Cacahuate
S6A3040	S6A3040	Sitio 6	SEDIMENTO	"30/09/2023"	El Cacahuate
S6A5060	S6A5060	Sitio 6	SEDIMENTO	"30/09/2023"	El Cacahuate
S6B07	S6B07	Sitio 6	SEDIMENTO	"30/09/2023"	El Cacahuate
S6B1522	S6B1522	Sitio 6	SEDIMENTO	"30/09/2023"	El Cacahuate
S6B3040	S6B3040	Sitio 6	SEDIMENTO	"30/09/2023"	El Cacahuate
S6B5060	S6B5060	Sitio 6	SEDIMENTO	"30/09/2023"	El Cacahuate
S7A07	S7A07	Sitio 7	SEDIMENTO	"30/09/2023"	El Cacahuate
S7A1522	S7A1522	Sitio 7	SEDIMENTO	"30/09/2023"	El Cacahuate
S7A3040	S7A3040	Sitio 7	SEDIMENTO	"30/09/2023"	El Cacahuate
S7A5060	S7A5060	Sitio 7	SEDIMENTO	"30/09/2023"	El Cacahuate
S7B07	S7B07	Sitio 7	SEDIMENTO	"30/09/2023"	El Cacahuate
S7B1522	S7B1522	Sitio 7	SEDIMENTO	"30/09/2023"	El Cacahuate
S7B3040	S7B3040	Sitio 7	SEDIMENTO	"30/09/2023"	El Cacahuate
S7B5060	S7B5060	Sitio 7	SEDIMENTO	"30/09/2023"	El Cacahuate
